,n,r,x,var,block
1,87,76,19,1,1
2,119,8,14,2,1
3,94,74,9,3,1
4,95,11,12,4,1
5,134,0,12,5,1
6,92,0,3,6,1
7,118,11,17,7,1
8,70,32,3,8,1
9,128,33,3,9,1
10,85,14,21,10,1
11,77,3,8,11,1
12,29,3,3,12,1
13,109,28,7,13,1
14,209,63,10,14,1
15,89,3,7,15,1
16,171,16,14,16,1
17,243,11,17,17,1
18,109,2,14,18,1
19,66,8,18,19,1
20,177,62,12,20,1
21,124,14,18,21,1
22,159,34,10,22,1
23,68,0,6,23,1
24,136,13,12,24,1
25,86,7,10,25,1
26,75,12,16,26,1
27,100,0,13,27,1
28,147,22,18,28,1
29,49,5,6,29,1
30,111,17,13,30,1
31,134,0,8,31,1
32,179,15,32,32,1
33,120,20,5,33,1
34,169,27,6,34,1
35,45,0,2,35,1
36,105,0,10,36,1
37,65,6,7,37,1
38,192,25,15,38,1
39,92,2,18,39,1
40,212,112,12,40,1
41,79,9,10,41,1
42,119,10,15,42,1
43,97,0,10,43,1
44,129,1,9,44,1
45,72,27,8,45,1
46,70,70,12,1,2
47,125,21,13,2,2
48,105,95,9,3,2
49,104,21,12,4,2
50,115,6,25,5,2
51,195,63,17,6,2
52,111,7,15,7,2
53,131,22,6,8,2
54,108,77,3,9,2
55,121,12,21,10,2
56,74,0,4,11,2
57,111,26,5,12,2
58,120,50,10,13,2
59,231,105,12,14,2
60,113,18,12,15,2
61,131,32,15,16,2
62,222,9,9,17,2
63,109,0,12,18,2
64,161,36,19,19,2
65,112,9,14,20,2
66,121,17,16,21,2
67,191,110,10,22,2
68,85,0,8,23,2
69,143,14,17,24,2
70,82,7,12,25,2
71,105,22,13,26,2
72,140,8,15,27,2
73,167,7,11,28,2
74,38,0,3,29,2
75,81,13,11,30,2
76,162,1,6,31,2
77,243,11,18,32,2
78,66,18,5,33,2
79,120,25,6,34,2
80,133,0,6,35,2
81,119,10,15,36,2
82,92,43,6,37,2
83,162,6,26,38,2
84,131,17,26,39,2
85,108,48,9,40,2
86,46,0,5,41,2
87,147,16,20,42,2
88,130,11,14,43,2
89,148,0,17,44,2
90,100,64,17,45,2
91,73,54,25,1,3
92,130,10,12,2,3
93,71,44,6,3,3
94,104,15,13,4,3
95,195,3,19,5,3
96,99,21,11,6,3
97,63,8,12,7,3
98,85,28,5,8,3
99,59,11,4,9,3
100,113,13,28,10,3
101,63,0,3,11,3
102,50,3,1,12,3
103,102,36,10,13,3
104,223,59,10,14,3
105,91,5,15,15,3
106,169,4,7,16,3
107,130,57,7,17,3
108,103,0,8,18,3
109,98,22,17,19,3
110,173,92,17,20,3
111,152,21,22,21,3
112,137,57,7,22,3
113,33,0,5,23,3
114,123,24,10,24,3
115,88,0,11,25,3
116,99,8,9,26,3
117,153,1,9,27,3
118,154,6,16,28,3
119,78,4,12,29,3
120,80,6,17,30,3
121,161,0,13,31,3
122,184,7,25,32,3
123,69,18,2,33,3
124,141,10,8,34,3
125,113,8,4,35,3
126,132,2,10,36,3
127,63,24,3,37,3
128,161,22,19,38,3
129,111,10,20,39,3
130,78,8,7,40,3
131,71,0,6,41,3
132,118,16,20,42,3
133,84,6,8,43,3
134,175,0,12,44,3
135,143,42,24,45,3
136,59,39,14,1,4
137,177,26,15,2,4
138,48,38,3,3,4
139,165,41,11,4,4
140,150,5,15,5,4
141,135,47,19,6,4
142,97,15,11,7,4
143,75,18,3,8,4
144,51,11,3,9,4
145,135,28,19,10,4
146,102,0,6,11,4
147,57,39,4,12,4
148,58,13,9,13,4
149,157,23,9,14,4
150,94,1,13,15,4
151,172,69,10,16,4
152,105,24,2,17,4
153,147,1,10,18,4
154,94,30,36,19,4
155,106,23,10,20,4
156,137,15,13,21,4
157,243,131,17,22,4
158,137,4,10,23,4
159,104,2,17,24,4
160,116,3,13,25,4
161,102,13,10,26,4
162,151,3,15,27,4
163,113,7,15,28,4
164,67,3,8,29,4
165,111,13,12,30,4
166,132,0,12,31,4
167,220,6,14,32,4
168,67,2,4,33,4
169,146,10,9,34,4
170,110,0,4,35,4
171,93,2,11,36,4
172,79,11,3,37,4
173,167,36,26,38,4
174,144,16,14,39,4
175,182,63,17,40,4
176,61,2,8,41,4
177,154,12,35,42,4
178,98,0,8,43,4
179,129,9,14,44,4
180,130,24,20,45,4
